uid,canonical_name,variant
3927,Jose Carlos Garcia Sanchez,Jose Garcia Sanchez
3927,Jose Carlos Garcia Sanchez,Jose Sanchez
3933,Victor Sanchez Gil,Victor Gil
3940,Miguel Olaso De La Rica,Miguel De La Rica
3940,Miguel Olaso De La Rica,Miguel Rica
3994,Philip Riise Hansen,Philip Hansen
4018,Jaime Garcia Lancha,Jaime Lancha
4052,Giulio Di Meo,Giulio Meo
4062,Alejandro Vargas Aboy,Alejandro Aboy
4074,Peter Mayer Tischer,Peter Tischer
4083,Carles Poch Gradin,Carles Gradin
4084,Carlos Poch Gradin,Carlos Gradin
4085,Henrique Pinto Silva,Henrique Silva
4091,Miguel Angel Lopez Jaen,Miguel Jaen
4091,Miguel Angel Lopez Jaen,Miguel Lopez Jaen
4092,Jhonathan Medina Alvarez,Jhonathan Alvarez
4099,Israel Matos Gil,Israel Gil
4103,Arkaitz Manzarbeitia Ugate,Arkaitz Ugate
4104,Gilles De Sousa,Gilles Sousa
4109,Bart De Gier,Bart Gier
4127,Marco Di Vuolo,Marco Vuolo
4137,Bart Van Delft,Bart Delft
4138,Henry Adjei Darko,Henry Darko
4152,David Canudas Fernandez,David Fernandez
4155,Sunil Kumar Sipaeya,Sunil Sipaeya
4166,Alex Bogomolov Jr,Alex Jr
4170,Hector Ruiz Cadenas,Hector Cadenas
4176,Ricardo Soriano Gallo,Ricardo Gallo
4197,David Ortiz Djian,David Djian
4198,Guillermo Garcia Lopez,Guillermo Lopez
4238,Jaume Santo Valdivieso,Jaume Valdivieso
4246,Motaz Abou El Khair,Motaz El Khair
4246,Motaz Abou El Khair,Motaz Khair
4260,Johny De Leon,Johny Leon
4265,William Boe Wiegaard,William Wiegaard
4273,Edouard Roger-Vasselin,Edouard Roger Vasselin
4273,Edouard Roger-Vasselin,Edouard Vasselin
4280,Rafael Moreno Negrin,Rafael Negrin
4292,Izak Van Der Merwe,Izak Merwe
4296,Rogerio Dutra Silva,Rogerio Silva
4316,David Luque Velasco,David Velasco
4323,Juan Miguel Such Perez,Juan Such Perez
4352,Javier Herrera Eguiluz,Javier Eguiluz
4355,Mario Haider Maurer,Mario Maurer
4357,Bas Van Der Valk,Bas Valk
4364,Thomas Cazes Carrere,Thomas Carrere
4367,Daniel King Turner,Daniel Turner
4430,Antonio Ruiz Rosales,Antonio Rosales
4437,Oscar Rodriguez Sanchez,Oscar Sanchez
4444,Jose Antonio Sanchez De Luna,Jose De Luna
4444,Jose Antonio Sanchez De Luna,Jose Luna
4444,Jose Antonio Sanchez De Luna,Jose Sanchez De Luna
4461,Miquel Perez Puigdomenech,Miquel Puigdomenech
4463,Abdul Mumin Babalola,Abdul Babalola
4484,Nick Van Der Meer,Nick Meer
4513,Arun Prakash Rajagopalan,Arun Rajagopalan
4515,Arnau Brugues Davi,Arnau Davi
4524,Tore Deleuran Skjold Db37,Tore Db37
4528,David Villanueva Perez,David Perez
4531,Jose Checa Calvo,Jose Calvo
4543,Ricardo Villacorta Alonso,Ricardo Alonso
4553,Shane La Porte,Shane Porte
4567,Amadeus Fulford Jones,Amadeus Jones
4592,Daniel Gimeno Traver,Daniel Traver
4598,Matias De Genaro,Matias Genaro
4613,Javier Foronda Bolanos,Javier Bolanos
4614,Ranjeet Virali Murugesan,Ranjeet Murugesan
4615,Ahmed Shebl Morsy,Ahmed Morsy
4618,Jesse Huta Galung,Jesse Galung
4628,Adrian Menendez Maceiras,Adrian Maceiras
4648,Juan De Armas,Juan Armas
4649,Philippe De Bonnevie,Philippe Bonnevie
4661,Eladio Ribeiro Neto,Eladio Neto
4665,Pedro Clar Rossello,Pedro Rossello
4702,Victor Mugurel Anagnastopol,Victor Anagnastopol
4715,Luis Diaz Barriga,Luis Barriga
4720,Juan Beaus Barquin,Juan Barquin
4751,Adolfo Gomez Pinter,Adolfo Pinter
4761,Salvador Rodriguez Mayoralas,Salvador Mayoralas
4773,Kaes Vant Hof,Kaes Hof
4788,Oscar Sabate Bretos,Oscar Bretos
